src,dst,w
806870,817564,1
806870,1481921,1
236440,297752,1
297752,747266,1
297752,817564,1
236440,747266,1
236440,817564,1
236440,1481921,1
747266,817564,1
817564,1481921,1
154812,182646,1
154812,1124114,1
182646,344666,1
182646,1124114,1
1005672,1371527,3
1005672,1573455,2
1371527,1573455,2
1426360,1431357,1
80570,1431357,1
753417,1431357,1
80000,249691,2
1099122,1116824,1
39263,1099122,1
1042512,1099122,1
1052625,1099122,2
201242,1203294,2
1203294,1770976,1
1203294,1302920,1
1203294,1406385,1
201242,1770976,1
1302920,1770976,1
1406385,1770976,1
1302920,1406385,1
415614,1390255,1
1291907,1468293,2
432036,1421779,5
1114467,1144066,2
834001,1173219,2
1291907,1379421,2
1221712,1291749,1
582769,1487287,1
297752,1124114,1
194531,1249016,1
1249016,1346471,1
87450,1249016,1
194531,1346471,1
87450,194531,1
87450,1346471,1
517929,1643083,1
1473253,1643083,1
257696,279192,1
257696,408167,1
215146,1228266,4
1181010,1228266,2
215146,1181010,2
40251,692977,4
692977,1181010,4
692977,1187968,4
38718,692977,3
432036,692977,3
692977,1421779,2
40251,1181010,4
40251,1187968,4
38718,40251,3
40251,432036,3
40251,1421779,2
1181010,1187968,4
38718,1181010,3
432036,1181010,4
1181010,1421779,6
38718,1187968,3
432036,1187968,3
1187968,1421779,2
38718,432036,2
38718,1421779,2
4698,1099122,2
1027614,1099122,2
1099122,1421779,1
4698,1027614,2
4698,1052625,1
4698,1421779,1
1027614,1052625,1
1027614,1421779,1
1052625,1421779,1
40242,1228266,2
40242,215146,2
75030,1183169,2
75030,1042512,1
40242,75030,2
75030,1443331,2
1042512,1183169,1
40242,1183169,2
40242,1042512,1
1042512,1443331,1
40242,1443331,2
1183169,1421779,3
75030,1181010,1
75030,89157,1
75030,1421779,1
40242,1181010,1
40242,89157,1
40242,1421779,1
89157,1421779,3
1421779,1443331,1
168849,537193,2
392813,537193,1
137703,813564,1
381481,1452312,1
1173219,1709141,1
134698,1709141,1
134698,1173219,1
134698,1586237,1
134698,834001,1
1114467,1116722,1
1382811,1591619,1
757421,1382811,1
1382811,1821927,1
726647,1591619,1
726647,757421,2
726647,1821927,1
757421,1591619,1
1591619,1821927,1
757421,1821927,1
784528,1821927,1
537228,1051212,2
1452312,1506924,1
414410,1002803,2
137521,881625,1
137521,150264,1
150264,881625,1
230678,1229143,1
249691,1404785,2
505626,1728727,1
159478,1379975,2
152777,159478,1
152777,1379975,1
176541,221601,1
176541,1229356,1
221601,1229356,1
78043,1406385,1
1291907,1350042,2
39263,1228266,1
39263,215146,1
